"DIAG_PRINC","n","CLASSIF","RESTRSEXO","CAUSAOBITO","DESCRICAO","DESCRABREV","REFER","EXCLUIDOS","...9"
"J18",526,NA,NA,NA,NA,NA,NA,NA,NA
"P59",234,NA,NA,NA,NA,NA,NA,NA,NA
"J21",221,NA,NA,NA,NA,NA,NA,NA,NA
"P22",175,NA,NA,NA,NA,NA,NA,NA,NA
"P96",132,NA,NA,NA,NA,NA,NA,NA,NA
"N47",107,NA,"M","N","Hipertrofia do prepúcio, fimose e parafimose","N47   Hipertrofia do prepucio fimose e parafimose",NA,NA,NA
"J189",98,NA,NA,NA,"Pneumonia não especificada","J18.9 Pneumonia NE",NA,NA,NA
"J180",83,NA,NA,NA,"Broncopneumonia não especificada","J18.0 Broncopneumonia NE",NA,NA,NA
"A09",81,NA,NA,NA,"Diarréia e gastroenterite de origem infecciosa presumível","A09   Diarreia e gastroenterite orig infecc presum",NA,NA,NA
"P05",79,NA,NA,NA,NA,NA,NA,NA,NA
"P07",70,NA,NA,NA,NA,NA,NA,NA,NA
"N39",64,NA,NA,NA,NA,NA,NA,NA,NA
"P599",64,NA,NA,NA,"Icterícia neonatal não especificada","P59.9 Ictericia neonatal NE",NA,NA,NA
"P39",57,NA,NA,NA,NA,NA,NA,NA,NA
"K42",50,NA,NA,NA,NA,NA,NA,NA,NA
"P70",50,NA,NA,NA,NA,NA,NA,NA,NA
"L03",47,NA,NA,NA,NA,NA,NA,NA,NA
"J218",46,NA,NA,NA,"Bronquiolite aguda devida a outros microorganismos especificados","J21.8 Bronquiolite aguda dev outr microorg espec",NA,NA,NA
"P229",44,NA,NA,NA,"Desconforto respiratório não especificado do recém-nascido","P22.9 Desconforto respirat NE do recem-nascido",NA,NA,NA
"K40",36,NA,NA,NA,NA,NA,NA,NA,NA
"N390",33,NA,NA,NA,"Infecção do trato urinário de localização não especificada","N39.0 Infecc do trato urinario de localiz NE",NA,NA,NA
"G40",31,NA,NA,NA,NA,NA,NA,NA,NA
"P969",31,NA,NA,NA,"Afecções originadas no período perinatal não especificadas","P96.9 Afeccoes originadas no periodo perinatal NE",NA,NA,NA
"J15",30,NA,NA,NA,NA,NA,NA,NA,NA
"S06",30,NA,NA,NA,NA,NA,NA,NA,NA
"J45",28,NA,NA,NA,NA,NA,NA,NA,NA
"J35",27,NA,NA,NA,NA,NA,NA,NA,NA
"J219",26,NA,NA,NA,"Bronquite aguda não especificada","J21.9 Bronquite aguda NE",NA,NA,NA
"P073",25,NA,NA,NA,"Outros recém-nascidos de pré-termo","P07.3 Outr recem-nascidos de pre-termo",NA,NA,NA
"K429",24,NA,NA,NA,"Hérnia umbilical sem obstrução ou gangrena","K42.9 Hernia umbilical s/obstrucao ou gangrena",NA,NA,NA
"A41",23,NA,NA,NA,NA,NA,NA,NA,NA
"Q53",20,NA,NA,NA,NA,NA,NA,NA,NA
"P051",19,NA,NA,NA,"Pequeno para a idade gestacional","P05.1 Pequeno p/a idade gestacional",NA,NA,NA
"D57",18,NA,NA,NA,NA,NA,NA,NA,NA
"J06",18,NA,NA,NA,NA,NA,NA,NA,NA
"A419",17,NA,NA,NA,"Septicemia não especificada","A41.9 Septicemia NE",NA,NA,NA
"C91",16,NA,NA,NA,NA,NA,NA,NA,NA
"K35",15,NA,NA,NA,NA,NA,NA,NA,NA
"K409",15,NA,NA,NA,"Hérnia inguinal unilateral ou não especificada, sem obstrução ou gangrena","K40.9 Hernia inguinal unilat NE s/obstr gangrena",NA,NA,NA
"P08",15,NA,NA,NA,NA,NA,NA,NA,NA
"P21",15,NA,NA,NA,NA,NA,NA,NA,NA
"P29",15,NA,NA,NA,NA,NA,NA,NA,NA
"P399",15,NA,NA,NA,"Infecção própria do período perinatal não especificada","P39.9 Infecc propria do periodo perinatal NE",NA,NA,NA
"S42",15,NA,NA,NA,NA,NA,NA,NA,NA
"P220",14,NA,NA,NA,"Síndrome da angústia respiratória do recém-nascido","P22.0 Sindr da angustia respirat do recem-nascido",NA,NA,NA
"N04",13,NA,NA,NA,NA,NA,NA,NA,NA
"A49",12,NA,NA,NA,NA,NA,NA,NA,NA
"P36",12,NA,NA,NA,NA,NA,NA,NA,NA
"J03",11,NA,NA,NA,NA,NA,NA,NA,NA
"J04",11,NA,NA,NA,NA,NA,NA,NA,NA
"T18",11,NA,NA,NA,NA,NA,NA,NA,NA
"J459",10,NA,NA,NA,"Asma não especificada","J45.9 Asma NE",NA,NA,NA
"J96",10,NA,NA,NA,NA,NA,NA,NA,NA
"L02",10,NA,NA,NA,NA,NA,NA,NA,NA
"N43",10,NA,NA,NA,NA,NA,NA,NA,NA
"P228",10,NA,NA,NA,"Outros desconfortos respiratórios do recém-nascido","P22.8 Outr desconfortos respirat do recem-nascido",NA,NA,NA
"P28",10,NA,NA,NA,NA,NA,NA,NA,NA
"P704",10,NA,NA,NA,"Outras hipoglicemias neonatais","P70.4 Outr hipoglicemias neonatais",NA,NA,NA
"C910",9,NA,NA,NA,"Leucemia linfoblástica aguda","C91.0 Leucemia linfoblastica aguda",NA,NA,NA
"H65",9,NA,NA,NA,NA,NA,NA,NA,NA
"J068",8,NA,NA,"N","Outras infecções agudas das vias aéreas superiores de localizações múltiplas","J06.8 Outr infecc agudas vias aereas sup loc mult",NA,NA,NA
"L50",8,NA,NA,NA,NA,NA,NA,NA,NA
"P071",8,NA,NA,NA,"Outros recém-nascidos de peso baixo","P07.1 Outr recem-nascidos de peso baixo",NA,NA,NA
"P219",8,NA,NA,NA,"Asfixia ao nascer, não especificada","P21.9 Asfixia ao nascer NE",NA,NA,NA
"Q18",8,NA,NA,NA,NA,NA,NA,NA,NA
"J039",7,NA,NA,NA,"Amigdalite aguda não especificada","J03.9 Amigdalite aguda NE",NA,NA,NA
"K56",7,NA,NA,NA,NA,NA,NA,NA,NA
"K59",7,NA,NA,NA,NA,NA,NA,NA,NA
"L98",7,NA,NA,NA,NA,NA,NA,NA,NA
"P92",7,NA,NA,NA,NA,NA,NA,NA,NA
"Q70",7,NA,NA,NA,NA,NA,NA,NA,NA
"Z47",7,NA,NA,NA,NA,NA,NA,NA,NA
"A50",6,NA,NA,NA,NA,NA,NA,NA,NA
"B01",6,NA,NA,NA,NA,NA,NA,NA,NA
"F84",6,NA,NA,NA,NA,NA,NA,NA,NA
"G409",6,NA,NA,NA,"Epilepsia, não especificada","G40.9 Epilepsia NE",NA,NA,NA
"J154",6,NA,NA,NA,"Pneumonia devida a outros estreptococos","J15.4 Pneumonia dev outr estreptococos",NA,NA,NA
"J20",6,NA,NA,NA,NA,NA,NA,NA,NA
"J353",6,NA,NA,"N","Hipertrofia das amígdalas com hipertrofia das adenóides","J35.3 Hipertrofia amigdalas c/hipertrof adenoides",NA,NA,NA
"J40",6,NA,NA,NA,"Bronquite não especificada como aguda ou crônica","J40   Bronquite NE como aguda ou cronica",NA,NA,NA
"K12",6,NA,NA,NA,NA,NA,NA,NA,NA
"K92",6,NA,NA,NA,NA,NA,NA,NA,NA
"P61",6,NA,NA,NA,NA,NA,NA,NA,NA
"Q37",6,NA,NA,NA,NA,NA,NA,NA,NA
"Q54",6,NA,NA,NA,NA,NA,NA,NA,NA
"Q66",6,NA,NA,NA,NA,NA,NA,NA,NA
"S068",6,NA,NA,NA,"Outros traumatismos intracranianos","S06.8 Outr traum intracranianos",NA,NA,NA
"C71",5,NA,NA,NA,NA,NA,NA,NA,NA
"G91",5,NA,NA,NA,NA,NA,NA,NA,NA
"H50",5,NA,NA,NA,NA,NA,NA,NA,NA
"J209",5,NA,NA,NA,"Bronquite aguda não especificada","J20.9 Bronquite aguda NE",NA,NA,NA
"K30",5,NA,NA,NA,"Dispepsia","K30   Dispepsia",NA,NA,NA
"K359",5,NA,NA,NA,"Apendicite aguda sem outra especificação","K35.9 Apendicite aguda SOE",NA,NA,NA
"K402",5,NA,NA,NA,"Hérnia inguinal bilateral, sem obstrução ou gangrena","K40.2 Hernia inguinal bilat s/obstr ou gangrena",NA,NA,NA
"K52",5,NA,NA,NA,NA,NA,NA,NA,NA
"L01",5,NA,NA,NA,NA,NA,NA,NA,NA
"L032",5,NA,NA,NA,"Celulite da face","L03.2 Celulite da face",NA,NA,NA
"P080",5,NA,NA,NA,"Recém-nascido de tamanho excessivamente grande","P08.0 Recem-nascido tamanho excessivamente grande",NA,NA,NA
"P24",5,NA,NA,NA,NA,NA,NA,NA,NA
"Q21",5,NA,NA,NA,NA,NA,NA,NA,NA
"R104",5,NA,NA,NA,"Outras dores abdominais e as não especificadas","R10.4 Outr dores abdominais e as NE",NA,NA,NA
"S72",5,NA,NA,NA,NA,NA,NA,NA,NA
"A46",4,NA,NA,NA,"Erisipela","A46   Erisipela",NA,NA,NA
"C692",4,NA,NA,NA,"Neoplasia maligna da retina","C69.2 Retina",NA,NA,NA
"E84",4,NA,NA,NA,NA,NA,NA,NA,NA
"G00",4,NA,NA,NA,NA,NA,NA,NA,NA
"G41",4,NA,NA,NA,NA,NA,NA,NA,NA
"G418",4,NA,NA,NA,"Outros estados de mal epiléptico","G41.8 Outr estados de mal epileptico",NA,NA,NA
