"DIAG_PRINC","n","CLASSIF","RESTRSEXO","CAUSAOBITO","DESCRICAO","DESCRABREV","REFER","EXCLUIDOS","...9"
"J180",362,NA,NA,NA,"Broncopneumonia não especificada","J18.0 Broncopneumonia NE",NA,NA,NA
"P599",362,NA,NA,NA,"Icterícia neonatal não especificada","P59.9 Ictericia neonatal NE",NA,NA,NA
"J189",354,NA,NA,NA,"Pneumonia não especificada","J18.9 Pneumonia NE",NA,NA,NA
"P969",282,NA,NA,NA,"Afecções originadas no período perinatal não especificadas","P96.9 Afeccoes originadas no periodo perinatal NE",NA,NA,NA
"N47",264,NA,"M","N","Hipertrofia do prepúcio, fimose e parafimose","N47   Hipertrofia do prepucio fimose e parafimose",NA,NA,NA
"J219",254,NA,NA,NA,"Bronquite aguda não especificada","J21.9 Bronquite aguda NE",NA,NA,NA
"K429",162,NA,NA,NA,"Hérnia umbilical sem obstrução ou gangrena","K42.9 Hernia umbilical s/obstrucao ou gangrena",NA,NA,NA
"P229",144,NA,NA,NA,"Desconforto respiratório não especificado do recém-nascido","P22.9 Desconforto respirat NE do recem-nascido",NA,NA,NA
"P073",117,NA,NA,NA,"Outros recém-nascidos de pré-termo","P07.3 Outr recem-nascidos de pre-termo",NA,NA,NA
"P051",110,NA,NA,NA,"Pequeno para a idade gestacional","P05.1 Pequeno p/a idade gestacional",NA,NA,NA
"N390",98,NA,NA,NA,"Infecção do trato urinário de localização não especificada","N39.0 Infecc do trato urinario de localiz NE",NA,NA,NA
"J218",91,NA,NA,NA,"Bronquiolite aguda devida a outros microorganismos especificados","J21.8 Bronquiolite aguda dev outr microorg espec",NA,NA,NA
"A09",87,NA,NA,NA,"Diarréia e gastroenterite de origem infecciosa presumível","A09   Diarreia e gastroenterite orig infecc presum",NA,NA,NA
"J353",60,NA,NA,"N","Hipertrofia das amígdalas com hipertrofia das adenóides","J35.3 Hipertrofia amigdalas c/hipertrof adenoides",NA,NA,NA
"P228",60,NA,NA,NA,"Outros desconfortos respiratórios do recém-nascido","P22.8 Outr desconfortos respirat do recem-nascido",NA,NA,NA
"K409",58,NA,NA,NA,"Hérnia inguinal unilateral ou não especificada, sem obstrução ou gangrena","K40.9 Hernia inguinal unilat NE s/obstr gangrena",NA,NA,NA
"J210",52,NA,NA,NA,"Bronquiolite aguda devida a vírus sincicial respiratório","J21.0 Bronquiolite aguda dev virus sincicial resp",NA,NA,NA
"G409",44,NA,NA,NA,"Epilepsia, não especificada","G40.9 Epilepsia NE",NA,NA,NA
"P704",42,NA,NA,NA,"Outras hipoglicemias neonatais","P70.4 Outr hipoglicemias neonatais",NA,NA,NA
"Q531",42,NA,"M",NA,"Testículo não-descido, unilateral","Q53.1 Testiculo nao-descido unilateral",NA,NA,NA
"P220",38,NA,NA,NA,"Síndrome da angústia respiratória do recém-nascido","P22.0 Sindr da angustia respirat do recem-nascido",NA,NA,NA
"P399",38,NA,NA,NA,"Infecção própria do período perinatal não especificada","P39.9 Infecc propria do periodo perinatal NE",NA,NA,NA
"J068",37,NA,NA,"N","Outras infecções agudas das vias aéreas superiores de localizações múltiplas","J06.8 Outr infecc agudas vias aereas sup loc mult",NA,NA,NA
"K402",37,NA,NA,NA,"Hérnia inguinal bilateral, sem obstrução ou gangrena","K40.2 Hernia inguinal bilat s/obstr ou gangrena",NA,NA,NA
"S068",34,NA,NA,NA,"Outros traumatismos intracranianos","S06.8 Outr traum intracranianos",NA,NA,NA
"A419",31,NA,NA,NA,"Septicemia não especificada","A41.9 Septicemia NE",NA,NA,NA
"A499",28,NA,NA,NA,"Infecção bacteriana não especificada","A49.9 Infecc bacter NE",NA,NA,NA
"P369",28,NA,NA,NA,"Septicemia bacteriana não especificada do recém-nascido","P36.9 Septicemia bacter NE do recem-nascido",NA,NA,NA
"J459",27,NA,NA,NA,"Asma não especificada","J45.9 Asma NE",NA,NA,NA
"L032",26,NA,NA,NA,"Celulite da face","L03.2 Celulite da face",NA,NA,NA
"S424",25,NA,NA,NA,"Fratura da extremidade inferior do úmero","S42.4 Frat da extremidade infer do umero",NA,NA,NA
"K929",23,NA,NA,NA,"Doença do aparelho digestivo, sem outra especificação","K92.9 Doenc do aparelho digestivo SOE",NA,NA,NA
"P219",20,NA,NA,NA,"Asfixia ao nascer, não especificada","P21.9 Asfixia ao nascer NE",NA,NA,NA
"C910",19,NA,NA,NA,"Leucemia linfoblástica aguda","C91.0 Leucemia linfoblastica aguda",NA,NA,NA
"A509",17,NA,NA,NA,"Sífilis congênita não especificada","A50.9 Sifilis congen NE",NA,NA,NA
"K439",17,NA,NA,NA,"Hérnia ventral sem obstrução ou gangrena","K43.9 Hernia ventral s/obstrucao ou gangrena",NA,NA,NA
"L031",17,NA,NA,NA,"Celulite de outras partes do(s) membro(s)","L03.1 Celulite de outr partes de membros",NA,NA,NA
"J154",16,NA,NA,NA,"Pneumonia devida a outros estreptococos","J15.4 Pneumonia dev outr estreptococos",NA,NA,NA
"P080",16,NA,NA,NA,"Recém-nascido de tamanho excessivamente grande","P08.0 Recem-nascido tamanho excessivamente grande",NA,NA,NA
"P050",14,NA,NA,NA,"Recém-nascido de baixo peso para a idade gestacional","P05.0 Recem-nascido de baixo peso p/a idade gestac",NA,NA,NA
"C961",13,NA,NA,NA,"Histiocitose maligna","C96.1 Histiocitose maligna",NA,NA,NA
"N049",13,NA,NA,NA,"Síndrome nefrótica - não especificada","N04.9 NE",NA,NA,NA
"P299",13,NA,NA,NA,"Transtornos cardiovasculares não especificados originados no período perinatal","P29.9 Transt cardiovasc NE orig periodo perinatal",NA,NA,NA
"L038",12,NA,NA,NA,"Celulite de outros locais","L03.8 Celulite de outr locais",NA,NA,NA
"R509",12,NA,NA,NA,"Febre não especificada","R50.9 Febre NE",NA,NA,NA
"J960",11,NA,NA,NA,"Insuficiência respiratória aguda","J96.0 Insuf respirat aguda",NA,NA,NA
"K359",11,NA,NA,NA,"Apendicite aguda sem outra especificação","K35.9 Apendicite aguda SOE",NA,NA,NA
"L500",11,NA,NA,NA,"Urticária alérgica","L50.0 Urticaria alergica",NA,NA,NA
