"DIAG_PRINC","n","CLASSIF","RESTRSEXO","CAUSAOBITO","DESCRICAO","DESCRABREV","REFER","EXCLUIDOS","...9"
"J180",549,NA,NA,NA,"Broncopneumonia não especificada","J18.0 Broncopneumonia NE",NA,NA,NA
"P969",318,NA,NA,NA,"Afecções originadas no período perinatal não especificadas","P96.9 Afeccoes originadas no periodo perinatal NE",NA,NA,NA
"J219",266,NA,NA,NA,"Bronquite aguda não especificada","J21.9 Bronquite aguda NE",NA,NA,NA
"P599",264,NA,NA,NA,"Icterícia neonatal não especificada","P59.9 Ictericia neonatal NE",NA,NA,NA
"J189",234,NA,NA,NA,"Pneumonia não especificada","J18.9 Pneumonia NE",NA,NA,NA
"P229",152,NA,NA,NA,"Desconforto respiratório não especificado do recém-nascido","P22.9 Desconforto respirat NE do recem-nascido",NA,NA,NA
"P073",135,NA,NA,NA,"Outros recém-nascidos de pré-termo","P07.3 Outr recem-nascidos de pre-termo",NA,NA,NA
"A09",104,NA,NA,NA,"Diarréia e gastroenterite de origem infecciosa presumível","A09   Diarreia e gastroenterite orig infecc presum",NA,NA,NA
"N390",97,NA,NA,NA,"Infecção do trato urinário de localização não especificada","N39.0 Infecc do trato urinario de localiz NE",NA,NA,NA
"P228",83,NA,NA,NA,"Outros desconfortos respiratórios do recém-nascido","P22.8 Outr desconfortos respirat do recem-nascido",NA,NA,NA
"N47",77,NA,"M","N","Hipertrofia do prepúcio, fimose e parafimose","N47   Hipertrofia do prepucio fimose e parafimose",NA,NA,NA
"K429",73,NA,NA,NA,"Hérnia umbilical sem obstrução ou gangrena","K42.9 Hernia umbilical s/obstrucao ou gangrena",NA,NA,NA
"P051",63,NA,NA,NA,"Pequeno para a idade gestacional","P05.1 Pequeno p/a idade gestacional",NA,NA,NA
"P704",57,NA,NA,NA,"Outras hipoglicemias neonatais","P70.4 Outr hipoglicemias neonatais",NA,NA,NA
"J459",45,NA,NA,NA,"Asma não especificada","J45.9 Asma NE",NA,NA,NA
"S068",41,NA,NA,NA,"Outros traumatismos intracranianos","S06.8 Outr traum intracranianos",NA,NA,NA
"J068",39,NA,NA,"N","Outras infecções agudas das vias aéreas superiores de localizações múltiplas","J06.8 Outr infecc agudas vias aereas sup loc mult",NA,NA,NA
"J353",39,NA,NA,"N","Hipertrofia das amígdalas com hipertrofia das adenóides","J35.3 Hipertrofia amigdalas c/hipertrof adenoides",NA,NA,NA
"K409",39,NA,NA,NA,"Hérnia inguinal unilateral ou não especificada, sem obstrução ou gangrena","K40.9 Hernia inguinal unilat NE s/obstr gangrena",NA,NA,NA
"B018",36,NA,NA,NA,"Varicela com outras complicações","B01.8 Varicela c/outr complic",NA,NA,NA
"G409",36,NA,NA,NA,"Epilepsia, não especificada","G40.9 Epilepsia NE",NA,NA,NA
"Q531",32,NA,"M",NA,"Testículo não-descido, unilateral","Q53.1 Testiculo nao-descido unilateral",NA,NA,NA
"P220",31,NA,NA,NA,"Síndrome da angústia respiratória do recém-nascido","P22.0 Sindr da angustia respirat do recem-nascido",NA,NA,NA
"P399",29,NA,NA,NA,"Infecção própria do período perinatal não especificada","P39.9 Infecc propria do periodo perinatal NE",NA,NA,NA
"J210",25,NA,NA,NA,"Bronquiolite aguda devida a vírus sincicial respiratório","J21.0 Bronquiolite aguda dev virus sincicial resp",NA,NA,NA
"L031",25,NA,NA,NA,"Celulite de outras partes do(s) membro(s)","L03.1 Celulite de outr partes de membros",NA,NA,NA
"P050",25,NA,NA,NA,"Recém-nascido de baixo peso para a idade gestacional","P05.0 Recem-nascido de baixo peso p/a idade gestac",NA,NA,NA
"J218",24,NA,NA,NA,"Bronquiolite aguda devida a outros microorganismos especificados","J21.8 Bronquiolite aguda dev outr microorg espec",NA,NA,NA
"L032",23,NA,NA,NA,"Celulite da face","L03.2 Celulite da face",NA,NA,NA
"J159",22,NA,NA,NA,"Pneumonia bacteriana não especificada","J15.9 Pneumonia bacter NE",NA,NA,NA
"A499",21,NA,NA,NA,"Infecção bacteriana não especificada","A49.9 Infecc bacter NE",NA,NA,NA
"C910",20,NA,NA,NA,"Leucemia linfoblástica aguda","C91.0 Leucemia linfoblastica aguda",NA,NA,NA
"P369",20,NA,NA,NA,"Septicemia bacteriana não especificada do recém-nascido","P36.9 Septicemia bacter NE do recem-nascido",NA,NA,NA
"L500",19,NA,NA,NA,"Urticária alérgica","L50.0 Urticaria alergica",NA,NA,NA
"A415",17,NA,NA,NA,"Septicemia por outros microorganismos gram-negativos","A41.5 Septicemia p/outr microorg gram-negativos",NA,NA,NA
"K359",17,NA,NA,NA,"Apendicite aguda sem outra especificação","K35.9 Apendicite aguda SOE",NA,NA,NA
"A419",16,NA,NA,NA,"Septicemia não especificada","A41.9 Septicemia NE",NA,NA,NA
"J039",16,NA,NA,NA,"Amigdalite aguda não especificada","J03.9 Amigdalite aguda NE",NA,NA,NA
"P219",16,NA,NA,NA,"Asfixia ao nascer, não especificada","P21.9 Asfixia ao nascer NE",NA,NA,NA
"S424",16,NA,NA,NA,"Fratura da extremidade inferior do úmero","S42.4 Frat da extremidade infer do umero",NA,NA,NA
"P285",15,NA,NA,NA,"Insuficiência respiratória do recém-nascido","P28.5 Insuf respirat do recem-nascido",NA,NA,NA
"K402",14,NA,NA,NA,"Hérnia inguinal bilateral, sem obstrução ou gangrena","K40.2 Hernia inguinal bilat s/obstr ou gangrena",NA,NA,NA
"P080",14,NA,NA,NA,"Recém-nascido de tamanho excessivamente grande","P08.0 Recem-nascido tamanho excessivamente grande",NA,NA,NA
"D570",13,NA,NA,NA,"Anemia falciforme com crise","D57.0 Anemia falciforme c/crise",NA,NA,NA
"H652",13,NA,NA,NA,"Otite média serosa crônica","H65.2 Otite media serosa cronica",NA,NA,NA
"A509",12,NA,NA,NA,"Sífilis congênita não especificada","A50.9 Sifilis congen NE",NA,NA,NA
"N433",12,NA,"M",NA,"Hidrocele não especificada","N43.3 Hidrocele NE",NA,NA,NA
"P072",12,NA,NA,NA,"Imaturidade extrema","P07.2 Imaturidade extrema",NA,NA,NA
"L038",11,NA,NA,NA,"Celulite de outros locais","L03.8 Celulite de outr locais",NA,NA,NA
"G919",10,NA,NA,NA,"Hidrocefalia não especificada","G91.9 Hidrocefalia NE",NA,NA,NA
"J960",10,NA,NA,NA,"Insuficiência respiratória aguda","J96.0 Insuf respirat aguda",NA,NA,NA
"K929",10,NA,NA,NA,"Doença do aparelho digestivo, sem outra especificação","K92.9 Doenc do aparelho digestivo SOE",NA,NA,NA
"P299",10,NA,NA,NA,"Transtornos cardiovasculares não especificados originados no período perinatal","P29.9 Transt cardiovasc NE orig periodo perinatal",NA,NA,NA
"Q379",10,NA,NA,NA,"Fenda do palato com fenda labial unilateral, não especificada","Q37.9 Fenda do palato c/fenda labial unilateral NE",NA,NA,NA
"Q668",10,NA,NA,"N","Outras deformidades congênitas do pé","Q66.8 Outr deform congen do pe",NA,NA,NA
"S723",10,NA,NA,NA,"Fratura da diáfise do fêmur","S72.3 Frat da diafise do femur",NA,NA,NA
"A370",9,NA,NA,NA,"Coqueluche por Bordetella pertussis","A37.0 Coqueluche p/Bordetella pertussis",NA,NA,NA
"C961",9,NA,NA,NA,"Histiocitose maligna","C96.1 Histiocitose maligna",NA,NA,NA
"J040",9,NA,NA,NA,"Laringite aguda","J04.0 Laringite aguda",NA,NA,NA
"J154",9,NA,NA,NA,"Pneumonia devida a outros estreptococos","J15.4 Pneumonia dev outr estreptococos",NA,NA,NA
"J181",9,NA,NA,NA,"Pneumonia lobar não especificada","J18.1 Pneumonia lobar NE",NA,NA,NA
"K30",9,NA,NA,NA,"Dispepsia","K30   Dispepsia",NA,NA,NA
"P240",9,NA,NA,NA,"Aspiração neonatal de mecônio","P24.0 Aspiracao neonatal de meconio",NA,NA,NA
"J449",8,NA,NA,NA,"Doença pulmonar obstrutiva crônica não especificada","J44.9 Doenc pulmonar obstrutiva cronica NE",NA,NA,NA
"P071",7,NA,NA,NA,"Outros recém-nascidos de peso baixo","P07.1 Outr recem-nascidos de peso baixo",NA,NA,NA
"B019",6,NA,NA,NA,"Varicela sem complicação","B01.9 Varicela s/complic",NA,NA,NA
"D693",6,NA,NA,NA,"Púrpura trombocitopênica idiopática","D69.3 Purpura trombocitopenica idiopatica",NA,NA,NA
"K122",6,NA,NA,NA,"Celulite e abscesso da boca","K12.2 Celulite e abscesso da boca",NA,NA,NA
"K590",6,NA,NA,NA,"Constipação","K59.0 Constipacao",NA,NA,NA
"L030",6,NA,NA,"N","Celulite de dedos das mãos e dos pés","L03.0 Celulite de dedos das maos e dos pes",NA,NA,NA
"T16",6,NA,NA,NA,"Corpo estranho no ouvido","T16   Corpo estranho no ouvido",NA,NA,NA
"A080",5,NA,NA,NA,"Enterite por rotavírus","A08.0 Enterite p/rotavirus",NA,NA,NA
"A379",5,NA,NA,NA,"Coqueluche não especificada","A37.9 Coqueluche NE",NA,NA,NA
"E888",5,NA,NA,NA,"Outros distúrbios especificados do metabolismo","E88.8 Outr disturbios espec do metabolismo",NA,NA,NA
"J352",5,NA,NA,"N","Hipertrofia das adenóides","J35.2 Hipertrofia das adenoides",NA,NA,NA
"J36",5,NA,NA,NA,"Abscesso periamigdaliano","J36   Abscesso periamigdaliano",NA,NA,NA
"N189",5,NA,NA,NA,"Insuficiência renal crônica não especificada","N18.9 Insuf renal cronica NE",NA,NA,NA
"P070",5,NA,NA,NA,"Recém-nascido com peso muito baixo","P07.0 Recem-nascido c/peso muito baixo",NA,NA,NA
"Q210",5,NA,NA,NA,"Comunicação interventricular","Q21.0 Comunicacao interventricular",NA,NA,NA
"Q532",5,NA,"M",NA,"Testículo não-descido, bilateral","Q53.2 Testiculo nao-descido bilateral",NA,NA,NA
"R568",5,NA,NA,NA,"Outras convulsões e as não especificadas","R56.8 Outr convulsoes e as NE",NA,NA,NA
"A418",4,NA,NA,NA,"Outras septicemias especificadas","A41.8 Outr septicemias espec",NA,NA,NA
